tconst,primaryTitle,numVotes,averageRating,startYear,titleType,genre
tt0108052,Schindler's List,1219581,8.9,1993,movie,Biography
tt0099685,Goodfellas,1027253,8.7,1990,movie,Biography
tt1675434,The Intouchables,765826,8.5,2011,movie,Biography
tt0253474,The Pianist,734708,8.5,2002,movie,Biography
tt5074352,Dangal,158059,8.4,2016,movie,Biography
tt0112573,Braveheart,963117,8.3,1995,movie,Biography
tt0086879,Amadeus,370696,8.3,1984,movie,Biography
tt0056172,Lawrence of Arabia,269395,8.3,1962,movie,Biography
tt0268978,A Beautiful Mind,853631,8.2,2001,movie,Biography
tt6966692,Green Book,385732,8.2,2018,movie,Biography
tt0118799,Life Is Beautiful,627430,8.6,1997,movie,Comedy
tt6751668,Parasite,568695,8.6,2019,movie,Comedy
tt1675434,The Intouchables,765826,8.5,2011,movie,Comedy
tt0027977,Modern Times,219266,8.5,1936,movie,Comedy
tt0021749,City Lights,168829,8.5,1931,movie,Comedy
tt0088763,Back to the Future,1064251,8.5,1985,movie,Comedy
tt0057012,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,452600,8.4,1964,movie,Comedy
tt1187043,3 Idiots,346675,8.4,2009,movie,Comedy
tt0032553,The Great Dictator,204230,8.4,1940,movie,Comedy
tt0114709,Toy Story,892197,8.3,1995,movie,Comedy
tt0468569,The Dark Knight,2315682,9.0,2008,movie,Action
tt0167260,The Lord of the Rings: The Return of the King,1650871,8.9,2003,movie,Action
tt1375666,Inception,2079706,8.8,2010,movie,Action
tt0120737,The Lord of the Rings: The Fellowship of the Ring,1670192,8.8,2001,movie,Action
tt5813916,The Mountain II,105338,8.8,2016,movie,Action
tt0133093,The Matrix,1685797,8.7,1999,movie,Action
tt0167261,The Lord of the Rings: The Two Towers,1492927,8.7,2002,movie,Action
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1164843,8.7,1980,movie,Action
tt0047478,Seven Samurai,317353,8.6,1954,movie,Action
tt0076759,Star Wars: Episode IV - A New Hope,1236994,8.6,1977,movie,Action
tt1291584,Warrior,437865,8.2,2011,movie,Sport
tt0081398,Raging Bull,323462,8.2,1980,movie,Sport
tt0118715,The Big Lebowski,735907,8.1,1998,movie,Sport
tt0405159,Million Dollar Baby,638796,8.1,2004,movie,Sport
tt0075148,Rocky,521115,8.1,1976,movie,Sport
tt0169102,Lagaan: Once Upon a Time in India,105464,8.1,2001,movie,Sport
tt1125849,The Wrestler,290154,7.9,2008,movie,Sport
tt0964517,The Fighter,342192,7.8,2010,movie,Sport
tt0210945,Remember the Titans,199009,7.8,2000,movie,Sport
tt1210166,Moneyball,372208,7.6,2011,movie,Sport
tt1375666,Inception,2079706,8.8,2010,movie,Sci-Fi
tt0133093,The Matrix,1685797,8.7,1999,movie,Sci-Fi
tt0816692,Interstellar,1524445,8.6,2014,movie,Sci-Fi
tt0103064,Terminator 2: Judgment Day,999629,8.5,1991,movie,Sci-Fi
tt0482571,The Prestige,1197233,8.5,2006,movie,Sci-Fi
tt0088763,Back to the Future,1064251,8.5,1985,movie,Sci-Fi
tt4154756,Avengers: Infinity War,844115,8.4,2018,movie,Sci-Fi
tt0078748,Alien,791824,8.4,1979,movie,Sci-Fi
tt0338013,Eternal Sunshine of the Spotless Mind,916049,8.3,2004,movie,Sci-Fi
tt0066921,A Clockwork Orange,761303,8.3,1971,movie,Sci-Fi
