tconst,primaryTitle,numVotes,averageRating,startYear,genre,yearRange
tt2024544,12 Years a Slave,644065,8.1,2013,Biography,2010 - 2020
tt2119532,Hacksaw Ridge,439799,8.1,2016,Biography,2010 - 2020
tt1979320,Rush,434855,8.1,2013,Biography,2010 - 2020
tt1895587,Spotlight,423226,8.1,2015,Biography,2010 - 2020
tt1950186,Ford v Ferrari,297459,8.1,2019,Biography,2010 - 2020
tt2084970,The Imitation Game,689228,8.0,2014,Biography,2010 - 2020
tt2380307,Coco,390167,8.4,2017,Animation,2010 - 2020
tt4633694,Spider-Man: Into the Spider-Verse,381270,8.4,2018,Animation,2010 - 2020
tt5311514,Your Name.,198640,8.4,2016,Animation,2010 - 2020
tt0435761,Toy Story 3,760600,8.2,2010,Animation,2010 - 2020
tt4729430,Klaus,107201,8.2,2019,Animation,2010 - 2020
tt0892769,How to Train Your Dragon,669965,8.1,2010,Animation,2010 - 2020
tt2096673,Inside Out,621068,8.1,2015,Animation,2010 - 2020
tt2948356,Zootopia,436619,8.0,2016,Animation,2010 - 2020
tt5104604,Isle of Dogs,140749,7.9,2018,Animation,2010 - 2020
tt2245084,Big Hero 6,412829,7.8,2014,Animation,2010 - 2020
tt1375666,Inception,2079706,8.8,2010,Adventure,2010 - 2020
tt0816692,Interstellar,1524445,8.6,2014,Adventure,2010 - 2020
tt4154756,Avengers: Infinity War,844115,8.4,2018,Adventure,2010 - 2020
tt4154796,Avengers: Endgame,824450,8.4,2019,Adventure,2010 - 2020
tt2380307,Coco,390167,8.4,2017,Adventure,2010 - 2020
tt4633694,Spider-Man: Into the Spider-Verse,381270,8.4,2018,Adventure,2010 - 2020
tt1345836,The Dark Knight Rises,1523432,8.4,2012,Adventure,2010 - 2020
tt0435761,Toy Story 3,760600,8.2,2010,Adventure,2010 - 2020
tt4729430,Klaus,107201,8.2,2019,Adventure,2010 - 2020
tt1392190,Mad Max: Fury Road,887264,8.1,2015,Adventure,2010 - 2020
tt1375666,Inception,2079706,8.8,2010,Action,2010 - 2020
tt5813916,The Mountain II,105338,8.8,2016,Action,2010 - 2020
tt4154756,Avengers: Infinity War,844115,8.4,2018,Action,2010 - 2020
tt4154796,Avengers: Endgame,824450,8.4,2019,Action,2010 - 2020
tt4633694,Spider-Man: Into the Spider-Verse,381270,8.4,2018,Action,2010 - 2020
tt5074352,Dangal,158059,8.4,2016,Action,2010 - 2020
tt1345836,The Dark Knight Rises,1523432,8.4,2012,Action,2010 - 2020
tt1291584,Warrior,437865,8.2,2011,Action,2010 - 2020
tt1392190,Mad Max: Fury Road,887264,8.1,2015,Action,2010 - 2020
tt0892769,How to Train Your Dragon,669965,8.1,2010,Action,2010 - 2020
tt0361748,Inglourious Basterds,1276172,8.3,2009,War,2000 - 2010
tt0457430,Pan's Labyrinth,621164,8.2,2006,War,2000 - 2010
tt0914798,The Boy in the Striped Pajamas,191785,7.8,2008,War,2000 - 2010
tt0265086,Black Hawk Down,365540,7.7,2001,War,2000 - 2010
tt0215750,Enemy at the Gates,244666,7.6,2001,War,2000 - 2010
tt0887912,The Hurt Locker,423158,7.5,2008,War,2000 - 2010
tt0361596,Fahrenheit 9/11,126464,7.5,2004,War,2000 - 2010
tt0942385,Tropic Thunder,379076,7.0,2008,War,2000 - 2010
tt1234548,The Men Who Stare at Goats,127225,6.2,2009,War,2000 - 2010
tt0407887,The Departed,1196522,8.5,2006,Thriller,2000 - 2010
tt0405094,The Lives of Others,360655,8.4,2006,Thriller,2000 - 2010
tt0209144,Memento,1131011,8.4,2000,Thriller,2000 - 2010
tt0477348,No Country for Old Men,862138,8.1,2007,Thriller,2000 - 2010
tt0245712,Amores Perros,224661,8.1,2000,Thriller,2000 - 2010
tt0401792,Sin City,739514,8.0,2005,Thriller,2000 - 2010
tt0378194,Kill Bill: Volume 2,687046,8.0,2004,Thriller,2000 - 2010
tt0440963,The Bourne Ultimatum,606009,8.0,2007,Thriller,2000 - 2010
tt0381061,Casino Royale,584138,8.0,2006,Thriller,2000 - 2010
tt0450259,Blood Diamond,501644,8.0,2006,Thriller,2000 - 2010
tt0405159,Million Dollar Baby,638796,8.1,2004,Sport,2000 - 2010
tt0169102,Lagaan: Once Upon a Time in India,105464,8.1,2001,Sport,2000 - 2010
tt1125849,The Wrestler,290154,7.9,2008,Sport,2000 - 2010
tt0210945,Remember the Titans,199009,7.8,2000,Sport,2000 - 2010
tt0878804,The Blind Side,294815,7.6,2009,Sport,2000 - 2010
tt0385002,Green Street Hooligans,142295,7.5,2005,Sport,2000 - 2010
tt0393162,Coach Carter,129565,7.3,2005,Sport,2000 - 2010
tt0479143,Rocky Balboa,204909,7.1,2006,Sport,2000 - 2010
tt0364725,Dodgeball,229951,6.7,2004,Sport,2000 - 2010
tt0415306,Talladega Nights: The Ballad of Ricky Bobby,168270,6.6,2006,Sport,2000 - 2010
tt0482571,The Prestige,1197233,8.5,2006,Sci-Fi,2000 - 2010
tt0338013,Eternal Sunshine of the Spotless Mind,916049,8.3,2004,Sci-Fi,2000 - 2010
tt0434409,V for Vendetta,1036939,8.2,2005,Sci-Fi,2000 - 2010
tt0246578,Donnie Darko,742748,8.0,2001,Sci-Fi,2000 - 2010
tt0371746,Iron Man,944440,7.9,2008,Sci-Fi,2000 - 2010
tt1136608,District 9,639918,7.9,2009,Sci-Fi,2000 - 2010
tt0796366,Star Trek,578434,7.9,2009,Sci-Fi,2000 - 2010
tt0206634,Children of Men,466639,7.9,2006,Sci-Fi,2000 - 2010
tt1182345,Moon,336220,7.9,2009,Sci-Fi,2000 - 2010
tt0379786,Serenity,283918,7.8,2005,Sci-Fi,2000 - 2010
tt0338013,Eternal Sunshine of the Spotless Mind,916049,8.3,2004,Romance,2000 - 2010
tt0211915,Amelie,706551,8.3,2001,Romance,2000 - 2010
tt1305806,The Secret in Their Eyes,194262,8.2,2009,Romance,2000 - 2010
tt0381681,Before Sunset,237854,8.1,2004,Romance,2000 - 2010
tt0118694,In the Mood for Love,125560,8.1,2000,Romance,2000 - 2010
tt1010048,Slumdog Millionaire,801379,8.0,2008,Romance,2000 - 2010
tt0287467,Talk to Her,104992,7.9,2002,Romance,2000 - 2010
tt0421715,The Curious Case of Benjamin Button,592191,7.8,2008,Romance,2000 - 2010
tt0162222,Cast Away,527220,7.8,2000,Romance,2000 - 2010
tt0332280,The Notebook,523306,7.8,2004,Romance,2000 - 2010
tt0482571,The Prestige,1197233,8.5,2006,Mystery,2000 - 2010
tt0364569,Oldboy,518543,8.4,2003,Mystery,2000 - 2010
tt0405094,The Lives of Others,360655,8.4,2006,Mystery,2000 - 2010
tt0209144,Memento,1131011,8.4,2000,Mystery,2000 - 2010
tt1305806,The Secret in Their Eyes,194262,8.2,2009,Mystery,2000 - 2010
tt0353969,Memories of Murder,141636,8.1,2003,Mystery,2000 - 2010
tt0246578,Donnie Darko,742748,8.0,2001,Mystery,2000 - 2010
tt0440963,The Bourne Ultimatum,606009,8.0,2007,Mystery,2000 - 2010
tt0258463,The Bourne Identity,510591,7.9,2002,Mystery,2000 - 2010
tt0327056,Mystic River,420978,7.9,2003,Mystery,2000 - 2010
tt0169102,Lagaan: Once Upon a Time in India,105464,8.1,2001,Musical,2000 - 2010
tt0168629,Dancer in the Dark,102711,8.0,2000,Musical,2000 - 2010
tt0203009,Moulin Rouge!,267552,7.6,2001,Musical,2000 - 2010
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,345422,7.3,2007,Musical,2000 - 2010
tt0299658,Chicago,216737,7.2,2002,Musical,2000 - 2010
tt0293508,The Phantom of the Opera,116586,7.2,2004,Musical,2000 - 2010
tt0427327,Hairspray,120145,6.6,2007,Musical,2000 - 2010
tt0795421,Mamma Mia!,217338,6.4,2008,Musical,2000 - 2010
tt0253474,The Pianist,734708,8.5,2002,Music,2000 - 2010
tt0358273,Walk the Line,235095,7.8,2005,Music,2000 - 2010
tt0907657,Once,110990,7.8,2007,Music,2000 - 2010
tt0350258,Ray,138950,7.7,2004,Music,2000 - 2010
tt0249462,Billy Elliot,127239,7.7,2000,Music,2000 - 2010
tt0146882,High Fidelity,168862,7.5,2000,Music,2000 - 2010
tt0426931,August Rush,103736,7.5,2007,Music,2000 - 2010
tt1131729,Pirate Radio,107571,7.4,2009,Music,2000 - 2010
tt0332379,School of Rock,270396,7.1,2003,Music,2000 - 2010
tt0298203,8 Mile,250855,7.1,2002,Music,2000 - 2010
tt0365748,Shaun of the Dead,514099,7.9,2004,Horror,2000 - 2010
tt0387564,Saw,380420,7.6,2004,Horror,2000 - 2010
tt0289043,28 Days Later...,378127,7.6,2002,Horror,2000 - 2010
tt0230600,The Others,339075,7.6,2001,Horror,2000 - 2010
tt0462322,Grindhouse,178263,7.5,2007,Horror,2000 - 2010
tt0464141,The Orphanage,147286,7.4,2007,Horror,2000 - 2010
tt0290673,Irreversible,121023,7.4,2002,Horror,2000 - 2010
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,345422,7.3,2007,Horror,2000 - 2010
tt0363547,Dawn of the Dead,234701,7.3,2004,Horror,2000 - 2010
tt0435625,The Descent,202302,7.2,2005,Horror,2000 - 2010
tt0363163,Downfall,332707,8.2,2004,History,2000 - 2010
tt0395169,Hotel Rwanda,335555,8.1,2004,History,2000 - 2010
tt0352248,Cinderella Man,176767,8.0,2005,History,2000 - 2010
tt0299977,Hero,174343,7.9,2002,History,2000 - 2010
tt0914798,The Boy in the Striped Pajamas,191785,7.8,2008,History,2000 - 2010
tt0265086,Black Hawk Down,365540,7.7,2001,History,2000 - 2010
tt0455590,The Last King of Scotland,175999,7.7,2006,History,2000 - 2010
tt0870111,Frost/Nixon,103616,7.7,2008,History,2000 - 2010
tt0215750,Enemy at the Gates,244666,7.6,2001,History,2000 - 2010
tt0408306,Munich,213130,7.5,2005,History,2000 - 2010
tt0457430,Pan's Labyrinth,621164,8.2,2006,Fantasy,2000 - 2010
tt0319061,Big Fish,416655,8.0,2003,Fantasy,2000 - 2010
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,1018175,8.0,2003,Fantasy,2000 - 2010
tt0304141,Harry Potter and the Prisoner of Azkaban,555691,7.9,2004,Fantasy,2000 - 2010
tt1139797,Let the Right One In,206131,7.9,2008,Fantasy,2000 - 2010
tt0756683,The Man From Earth,174786,7.9,2007,Fantasy,2000 - 2010
tt0460791,The Fall,107557,7.9,2006,Fantasy,2000 - 2010
tt0421715,The Curious Case of Benjamin Button,592191,7.8,2008,Fantasy,2000 - 2010
tt0190332,"Crouching Tiger, Hidden Dragon",254113,7.8,2000,Fantasy,2000 - 2010
tt0485947,Mr. Nobody,217396,7.8,2009,Fantasy,2000 - 2010
tt0245429,Spirited Away,656701,8.6,2001,Family,2000 - 2010
tt0986264,Like Stars on Earth,170334,8.4,2007,Family,2000 - 2010
tt0910970,WALL-E,1005050,8.4,2008,Family,2000 - 2010
tt0347149,Howl's Moving Castle,336990,8.2,2004,Family,2000 - 2010
tt1028532,Hachi: A Dog's Tale,255164,8.1,2009,Family,2000 - 2010
tt0304141,Harry Potter and the Prisoner of Azkaban,555691,7.9,2004,Family,2000 - 2010
tt0330373,Harry Potter and the Goblet of Fire,551743,7.7,2005,Family,2000 - 2010
tt0327597,Coraline,198694,7.7,2009,Family,2000 - 2010
tt0241527,Harry Potter and the Sorcerer's Stone,662703,7.6,2001,Family,2000 - 2010
tt0417741,Harry Potter and the Half-Blood Prince,477759,7.6,2009,Family,2000 - 2010
tt0468569,The Dark Knight,2315682,9.0,2008,Drama,2000 - 2010
tt0167260,The Lord of the Rings: The Return of the King,1650871,8.9,2003,Drama,2000 - 2010
tt0120737,The Lord of the Rings: The Fellowship of the Ring,1670192,8.8,2001,Drama,2000 - 2010
tt0167261,The Lord of the Rings: The Two Towers,1492927,8.7,2002,Drama,2000 - 2010
tt0317248,City of God,702151,8.6,2002,Drama,2000 - 2010
tt0253474,The Pianist,734708,8.5,2002,Drama,2000 - 2010
tt0172495,Gladiator,1348270,8.5,2000,Drama,2000 - 2010
tt0482571,The Prestige,1197233,8.5,2006,Drama,2000 - 2010
tt0407887,The Departed,1196522,8.5,2006,Drama,2000 - 2010
tt0364569,Oldboy,518543,8.4,2003,Drama,2000 - 2010
tt0310793,Bowling for Columbine,139914,7.9,2002,Documentary,2000 - 2010
tt0361596,Fahrenheit 9/11,126464,7.5,2004,Documentary,2000 - 2010
tt0390521,Super Size Me,101340,7.2,2004,Documentary,2000 - 2010
tt0468569,The Dark Knight,2315682,9.0,2008,Crime,2000 - 2010
tt0317248,City of God,702151,8.6,2002,Crime,2000 - 2010
tt0407887,The Departed,1196522,8.5,2006,Crime,2000 - 2010
tt0208092,Snatch,785392,8.3,2000,Crime,2000 - 2010
tt0405508,Rang De Basanti,112386,8.2,2006,Crime,2000 - 2010
tt0477348,No Country for Old Men,862138,8.1,2007,Crime,2000 - 2010
tt0264464,Catch Me If You Can,839667,8.1,2002,Crime,2000 - 2010
